Belegnummer;Personennummer;Buchungsdatum;Betrag;Verwendungszweck
13430;10581;13.10.2025;1601,91;Dauerauftrag September
10672;10574;28.08.2025;5401,39;Gutschrift Vorgang 9192
13535;10343;19.03.2025;6226,01;Überweisung an Gisela Pflüger
13801;10336;17.09.2025;2662,52;Rückzahlung an ingo.zangerle@beispiel-firma.de
10406;10462;12.12.2025;921,00;Überweisung an Olaf Baumgartner
12023;10721;10.04.2025;8216,77;"Miete September; Konto DE13999999990000010721"
11148;10322;04.05.2025;713,84;Rückzahlung an norbert.hasselbach@beispiel-firma.de
13283;10483;21.03.2025;5961,30;Beitrag November – Kundennummer 10483
14053;10679;12.09.2025;8953,13;Beitrag Februar – Kundennummer 10679
14466;10497;25.11.2025;3828,46;Rechnung 2024-4299, Rückfragen unter +49 60 82966050
14515;10518;07.03.2025;3892,31;Dauerauftrag Oktober
10294;10462;30.01.2025;4449,00;Beitrag März – Kundennummer 10462
15803;10497;18.04.2025;2964,36;Dauerauftrag Juli
10175;10511;25.02.2025;5098,31;"Miete Dezember; Konto DE73999999990000010511"
13892;10133;21.05.2025;8990,62;Beitrag Juli – Kundennummer 10133
10707;10392;10.05.2025;1827,98;Lastschrift DE44999999990000010392
14011;10287;20.06.2025;1478,55;Gutschrift Vorgang 0462
10217;10189;23.06.2025;3584,64;"Miete April; Konto DE21999999990000010189"
15586;10329;02.02.2025;219,43;Dauerauftrag Juli
15425;10000;19.08.2025;-1809,25;"Miete März; Konto DE12999999990000010000"
12632;10735;26.08.2025;6369,24;Überweisung an Doris Mühlbauer
11022;10427;01.07.2025;1890,33;Rechnung 2024-4915, Rückfragen unter 0695/827991-18
11288;10574;22.07.2025;1672,22;Gutschrift Vorgang 2144
12709;10196;25.02.2025;4850,40;Beitrag November – Kundennummer 10196
14683;10560;07.10.2025;5801,66;Rückzahlung an olaf.jahnke@beispiel-firma.de
14165;10539;23.08.2025;-2239,46;Rückzahlung an elke.achterberg@beispiel-firma.de
13304;10392;29.09.2025;48,18;Rückzahlung an gerd.hasselbach@beispiel-firma.de
13269;10084;31.12.2025;1725,59;Dauerauftrag Dezember
14389;10406;20.07.2025;4771,37;Beitrag Februar – Kundennummer 10406
12275;10511;16.04.2025;-2614,07;Lastschrift DE73999999990000010511
14676;10287;04.11.2025;-2865,16;"Miete Dezember; Konto DE29999999990000010287"
14795;10812;04.04.2025;-1818,61;Rechnung 2024-6655, Rückfragen unter 0668/474264-40
14487;10098;30.05.2025;-483,73;Überweisung an Gerd Hasselbach
14725;10210;20.03.2025;3854,33;Gutschrift Vorgang 6400
10028;10224;14.05.2025;-58,26;Überweisung an Peter Cordes
14221;10315;30.08.2025;-1505,83;Überweisung an Heike Kettenbach
12261;10091;02.02.2025;-1756,40;Gutschrift Vorgang 1236
15299;10504;25.05.2025;-2828,31;Dauerauftrag September
10392;10763;15.08.2025;589,09;Überweisung an Doris Wachsmuth
14669;10546;09.08.2025;7446,80;Rückzahlung an frank.obermeier@beispiel-firma.de
12793;10210;30.12.2025;8193,64;Rückzahlung an andreas.illigen@beispiel-firma.de
11001;10805;28.10.2025;5531,83;Rückzahlung an heike.kettenbach@beispiel-firma.de
13395;10770;21.09.2025;-1084,67;Beitrag Juli – Kundennummer 10770
10371;10091;08.02.2025;7817,86;Gutschrift Vorgang 8463
12100;10287;17.12.2025;1632,04;Gutschrift Vorgang 1835
15635;10042;03.07.2025;5586,03;Rechnung 2024-2524, Rückfragen unter (059) 3776611
12247;10329;01.10.2025;8097,51;"Miete August; Konto DE71999999990000010329"
12198;10287;14.04.2025;4557,75;Überweisung an Gisela Steinkamp
14396;10546;07.02.2025;-2028,60;Gutschrift Vorgang 5515
11799;10168;19.08.2025;-1739,63;Gutschrift Vorgang 9979
10896;10504;22.09.2025;7331,53;Beitrag März – Kundennummer 10504
11771;10028;15.04.2025;1312,29;Gutschrift Vorgang 4656
13206;10791;30.03.2025;1552,52;Dauerauftrag August
12982;10028;30.06.2025;6129,49;Gutschrift Vorgang 8022
15215;10119;05.09.2025;723,86;Überweisung an Monika Fassbender
14613;10364;03.10.2025;-690,59;Gutschrift Vorgang 0737
10854;10630;21.04.2025;3259,54;"Miete Juni; Konto DE12999999990000010630"
14235;10035;06.01.2025;4083,27;Beitrag Januar – Kundennummer 10035
13269;10553;23.05.2025;6962,45;Rückzahlung an gisela.thelen@beispiel-firma.de
15327;10007;23.08.2025;-2082,42;Dauerauftrag Dezember
11379;10371;31.07.2025;4435,93;Beitrag Oktober – Kundennummer 10371
13675;10777;23.07.2025;1653,20;Überweisung an Petra Uhlenbrock
14872;10714;03.08.2025;383,56;Gutschrift Vorgang 0499
15306;10756;15.02.2025;-1119,64;Rechnung 2024-6357, Rückfragen unter 0417/282553-17
11533;10700;19.02.2025;917,56;Überweisung an Holger Baumgartner
13290;10763;13.01.2025;-1599,48;Beitrag Januar – Kundennummer 10763
10420;10378;06.03.2025;-1719,25;Rückzahlung an frank.vollmering@beispiel-firma.de
13500;10693;05.10.2025;2695,39;Lastschrift DE75999999990000010693
11680;10595;11.03.2025;1165,27;Lastschrift DE67999999990000010595
12415;10567;31.10.2025;725,67;Dauerauftrag Juni
13626;10077;14.04.2025;2392,13;Lastschrift DE89999999990000010077
15530;10427;30.07.2025;8881,46;"Miete April; Konto DE79999999990000010427"
13822;10406;25.12.2025;234,84;Rechnung 2024-3150, Rückfragen unter +49 83 16172945
10455;10700;21.09.2025;6406,74;Gutschrift Vorgang 3407
13752;10574;19.05.2025;-2892,33;Rückzahlung an elias.quandtner@beispiel-firma.de
11911;10245;10.05.2025;614,46;Dauerauftrag April
15292;10042;13.07.2025;3739,08;Gutschrift Vorgang 5831
13409;10441;25.12.2025;2144,19;Überweisung an Elke Niederegger
14655;10427;04.12.2025;7526,88;Lastschrift DE79999999990000010427
15229;10707;12.10.2025;1195,30;"Miete Oktober; Konto DE89999999990000010707"
13577;10364;20.08.2025;2080,75;"Miete April; Konto DE16999999990000010364"
15586;10098;12.07.2025;863,43;Dauerauftrag August
11169;10427;04.08.2025;-676,00;Rechnung 2024-4624, Rückfragen unter 0695/827991-18
12128;10224;22.05.2025;-985,25;Überweisung an Peter Cordes
11848;10399;16.11.2025;8534,87;Beitrag Februar – Kundennummer 10399
14816;10385;28.01.2025;-1588,82;Rückzahlung an claudia.illigen@beispiel-firma.de
14361;10357;04.01.2025;3574,29;"Miete Mai; Konto DE09999999990000010357"
11344;10742;02.06.2025;6349,55;"Miete Juni; Konto DE34999999990000010742"
10105;10735;11.01.2025;8829,83;Rechnung 2024-4414, Rückfragen unter (054) 1742109
15222;10413;27.11.2025;2749,35;Rückzahlung an nadine.thelen@beispiel-firma.de
10602;10483;04.09.2025;1454,20;Lastschrift DE45999999990000010483
11813;10119;27.06.2025;-1736,17;Überweisung an Monika Fassbender
11736;10728;29.09.2025;-174,35;Gutschrift Vorgang 4400
15145;10294;19.10.2025;8979,31;Überweisung an Gerd Cordes
15621;10476;15.04.2025;7699,74;Rückzahlung an norbert.zangerle@beispiel-firma.de
10434;10091;22.06.2025;1853,43;Beitrag Februar – Kundennummer 10091
13815;10126;12.07.2025;1547,58;Überweisung an Norbert Hasselbach
10357;10756;19.12.2025;8942,66;Überweisung an Andreas Niederegger
12849;10469;11.10.2025;-421,79;Rechnung 2024-1969, Rückfragen unter +49 57 70945276
12590;10518;25.04.2025;2381,42;Überweisung an Olaf Cordes
15558;10168;18.06.2025;3080,05;Überweisung an Ingo Thelen
15824;10805;16.09.2025;7638,11;Lastschrift DE07999999990000010805
11141;10560;19.10.2025;5680,85;Überweisung an Olaf Jahnke
13227;10735;18.01.2025;8718,11;Rückzahlung an doris.muehlbauer@beispiel-firma.de
14676;10413;14.03.2025;4957,52;"Miete August; Konto DE65999999990000010413"
12604;10469;19.12.2025;7976,95;Beitrag Januar – Kundennummer 10469
13479;10420;09.02.2025;5717,47;Rechnung 2024-4574, Rückfragen unter +49 44 36678287
12961;10126;11.08.2025;8865,15;Gutschrift Vorgang 2707
10994;10728;13.10.2025;3698,37;Gutschrift Vorgang 2191
15796;10833;15.08.2025;6129,37;Beitrag August – Kundennummer 10833
15411;10266;16.05.2025;357,38;Überweisung an Christoph Thelen
14347;10707;12.05.2025;3094,87;Rechnung 2024-0702, Rückfragen unter 0645/412609-63
13997;10042;26.06.2025;3174,60;Rechnung 2024-0614, Rückfragen unter (059) 3776611
14529;10161;06.12.2025;8819,72;Beitrag Juli – Kundennummer 10161
14725;10805;02.09.2025;-605,10;Gutschrift Vorgang 2013
12275;10301;03.05.2025;-474,28;Beitrag September – Kundennummer 10301
14704;10483;18.04.2025;7788,75;Rechnung 2024-7530, Rückfragen unter (082) 7679918
14368;10329;26.04.2025;1130,10;Beitrag Januar – Kundennummer 10329
12331;10441;18.09.2025;-1346,17;Lastschrift DE03999999990000010441
12373;10483;08.01.2025;-2479,50;Dauerauftrag September
12912;10581;22.03.2025;-1856,74;Rückzahlung an jutta.quandtner@beispiel-firma.de
10497;10385;04.08.2025;5196,20;Gutschrift Vorgang 3850
10777;10805;24.08.2025;-1287,33;Beitrag Januar – Kundennummer 10805
11351;10399;10.02.2025;6337,99;Überweisung an Elke Hasselbach
12457;10630;01.02.2025;5162,63;Rechnung 2024-3010, Rückfragen unter +49 33 22762164
15376;10287;08.05.2025;-1110,52;Überweisung an Gisela Steinkamp
15124;10616;10.04.2025;5012,41;"Miete Juni; Konto DE88999999990000010616"
14060;10602;10.07.2025;6282,78;Dauerauftrag April
14830;10595;28.09.2025;385,90;Beitrag Oktober – Kundennummer 10595
13647;10063;10.03.2025;-334,69;Rechnung 2024-4759, Rückfragen unter (054) 3316722
11183;10119;15.04.2025;6626,72;Dauerauftrag August
11183;10672;11.02.2025;8279,79;Überweisung an Frank Niederegger
13066;10238;29.04.2025;2156,70;Rückzahlung an holger.baumgartner@beispiel-firma.de
15159;10623;19.05.2025;8672,12;Rechnung 2024-9692, Rückfragen unter 0411/133128-78
12975;10266;07.04.2025;3925,82;Rückzahlung an christoph.thelen@beispiel-firma.de
14165;10126;31.05.2025;-2143,47;"Miete September; Konto DE48999999990000010126"
12779;10686;16.12.2025;6701,48;Überweisung an Bernd Reinsberg
14599;10084;12.07.2025;2147,66;Gutschrift Vorgang 4745
11596;10462;26.12.2025;1873,31;Gutschrift Vorgang 3319
10861;10007;11.10.2025;5700,51;Rechnung 2024-6285, Rückfragen unter 0702/817879-16
12975;10154;20.01.2025;-1648,68;"Miete Juli; Konto DE76999999990000010154"
10161;10406;05.02.2025;-697,06;Gutschrift Vorgang 2213
10826;10455;13.07.2025;4038,16;Lastschrift DE17999999990000010455
11302;10497;12.03.2025;5285,03;Rückzahlung an elke.lindhorst@beispiel-firma.de
11848;10196;14.12.2025;-596,47;Gutschrift Vorgang 4158
14550;10105;06.10.2025;3089,75;Rückzahlung an lena.kettenbach@beispiel-firma.de
12128;10595;13.03.2025;8162,65;Rechnung 2024-4436, Rückfragen unter (045) 2905539
10672;10812;23.04.2025;5555,24;Lastschrift DE14999999990000010812
14060;10203;03.12.2025;2815,66;Lastschrift DE35999999990000010203
13955;10196;15.06.2025;3918,62;Überweisung an Gerd Reinsberg
15159;10294;13.05.2025;1522,60;Lastschrift DE36999999990000010294
14333;10308;27.06.2025;3034,95;Beitrag September – Kundennummer 10308
14956;10287;03.01.2025;-1514,21;Rückzahlung an gisela.steinkamp@beispiel-firma.de
14025;10070;10.04.2025;-1666,69;Überweisung an Martin Baumgartner
10805;10714;05.06.2025;6719,81;Lastschrift DE06999999990000010714
12744;10644;02.01.2025;1327,31;"Miete Dezember; Konto DE26999999990000010644"
12485;10315;23.01.2025;4981,39;Rückzahlung an heike.kettenbach@beispiel-firma.de
13528;10308;18.08.2025;764,67;"Miete Oktober; Konto DE50999999990000010308"
10406;10182;04.08.2025;4362,90;Lastschrift DE14999999990000010182
11491;10105;02.06.2025;6231,04;"Miete März; Konto DE27999999990000010105"
11995;10819;04.11.2025;5760,58;Lastschrift DE21999999990000010819
10483;10553;01.09.2025;6807,53;"Miete Mai; Konto DE25999999990000010553"
12121;10406;18.03.2025;7575,93;Lastschrift DE58999999990000010406
12338;10413;19.10.2025;7872,76;Rückzahlung an nadine.thelen@beispiel-firma.de
14067;10756;23.06.2025;4202,23;"Miete Juni; Konto DE48999999990000010756"
10385;10490;25.04.2025;6513,97;"Miete Juni; Konto DE52999999990000010490"
10868;10238;07.01.2025;5035,02;Überweisung an Holger Baumgartner
15068;10462;04.02.2025;1837,85;"Miete Februar; Konto DE24999999990000010462"
14158;10154;15.12.2025;8970,26;Rechnung 2024-8264, Rückfragen unter 0768/847736-82
10343;10357;12.08.2025;4792,91;Überweisung an Nadine Grünwald
11603;10112;15.09.2025;-139,77;Dauerauftrag Juni
13213;10399;13.05.2025;5997,73;Rechnung 2024-4993, Rückfragen unter 0232/307194-20
10826;10357;06.07.2025;-1028,57;Dauerauftrag Juni
11834;10322;07.07.2025;7926,39;"Miete Dezember; Konto DE64999999990000010322"
12954;10434;23.05.2025;6042,24;Rückzahlung an peter.dettmer@beispiel-firma.de
12324;10777;17.08.2025;7532,15;Dauerauftrag Januar
15005;10399;15.08.2025;1580,61;Rückzahlung an elke.hasselbach@beispiel-firma.de
10084;10000;17.07.2025;500,01;"Miete August; Konto DE12999999990000010000"
13045;10679;10.11.2025;3219,74;"Miete Dezember; Konto DE61999999990000010679"
15404;10105;27.10.2025;6299,65;Lastschrift DE27999999990000010105
15026;10658;10.05.2025;5061,35;"Miete September; Konto DE40999999990000010658"
13661;10623;31.03.2025;3815,85;Lastschrift DE05999999990000010623
11638;10189;30.05.2025;2916,27;"Miete September; Konto DE21999999990000010189"
15565;10091;10.06.2025;3726,48;Dauerauftrag April
12737;10322;03.07.2025;-1101,24;Rückzahlung an norbert.hasselbach@beispiel-firma.de
15523;10322;03.01.2025;8330,30;"Miete Juni; Konto DE64999999990000010322"
13738;10574;21.12.2025;2871,31;Beitrag Januar – Kundennummer 10574
13381;10833;01.12.2025;-520,25;"Miete November; Konto DE35999999990000010833"
10434;10084;14.03.2025;4577,31;Beitrag August – Kundennummer 10084
11687;10098;19.08.2025;1777,71;Überweisung an Gerd Hasselbach
12583;10770;21.05.2025;2034,11;Überweisung an Gerd Reinsberg
14095;10378;02.12.2025;8990,78;Beitrag November – Kundennummer 10378
13234;10560;29.05.2025;2359,16;Rückzahlung an olaf.jahnke@beispiel-firma.de
14242;10308;27.05.2025;1574,77;Überweisung an Olaf Zangerle
11834;10546;28.08.2025;-2825,30;Dauerauftrag Januar
13073;10504;31.01.2025;861,57;"Miete Dezember; Konto DE66999999990000010504"
14284;10511;17.03.2025;-254,78;Überweisung an Franziska Zangerle
13885;10035;27.06.2025;-980,96;Lastschrift DE47999999990000010035
14767;10329;18.02.2025;-853,75;Rechnung 2024-6001, Rückfragen unter 0235/340848-76
12856;10763;13.04.2025;6742,50;Überweisung an Doris Wachsmuth
10147;10504;24.06.2025;4628,05;Dauerauftrag Juni
12674;10434;03.03.2025;5525,65;Rechnung 2024-4475, Rückfragen unter (050) 1129617
11162;10595;21.10.2025;-607,32;Beitrag September – Kundennummer 10595
11757;10070;07.10.2025;5130,92;Überweisung an Martin Baumgartner
13192;10490;23.10.2025;7429,39;Gutschrift Vorgang 7900
12667;10644;30.07.2025;4437,97;Beitrag Mai – Kundennummer 10644
12555;10140;27.08.2025;-1289,11;Rückzahlung an dieter.fassbender@beispiel-firma.de
10707;10336;19.03.2025;8708,16;Lastschrift DE78999999990000010336
13178;10238;12.05.2025;5063,04;Überweisung an Holger Baumgartner
11890;10007;20.12.2025;6142,36;"Miete Juni; Konto DE19999999990000010007"
13227;10133;05.04.2025;5891,76;Lastschrift DE55999999990000010133
15467;10238;26.12.2025;-1885,30;Rechnung 2024-6377, Rückfragen unter +49 47 44226885
12618;10609;19.03.2025;-1734,97;Beitrag März – Kundennummer 10609
14018;10700;06.04.2025;4737,53;Rückzahlung an holger.baumgartner@beispiel-firma.de
11974;10161;19.09.2025;4153,78;Dauerauftrag Mai
15341;10273;24.04.2025;2701,43;Überweisung an Jutta Steinkamp
14802;10658;22.10.2025;8681,19;Überweisung an Dieter Mühlbauer
13416;10266;26.02.2025;628,15;Gutschrift Vorgang 1390
12842;10357;07.10.2025;6151,57;Rückzahlung an nadine.gruenwald@beispiel-firma.de
13479;10007;17.08.2025;8470,65;Gutschrift Vorgang 5988
13766;10476;26.10.2025;-1997,29;"Miete Juli; Konto DE38999999990000010476"
15418;10238;12.06.2025;-2470,54;Dauerauftrag Juli
13927;10756;30.10.2025;-392,93;Lastschrift DE48999999990000010756
14557;10574;17.08.2025;3365,46;Dauerauftrag Juni
11421;10273;22.09.2025;1206,66;Beitrag November – Kundennummer 10273
10924;10483;15.05.2025;-345,93;Überweisung an Petra Lindhorst
12310;10077;16.01.2025;6664,60;"Miete Januar; Konto DE89999999990000010077"
10623;10665;02.05.2025;7975,12;Lastschrift DE47999999990000010665
15537;10805;09.05.2025;-141,65;Lastschrift DE07999999990000010805
13822;10490;24.06.2025;-87,82;"Miete Februar; Konto DE52999999990000010490"
14515;10133;25.12.2025;-835,37;Rückzahlung an gisela.vollmering@beispiel-firma.de
12856;10161;09.01.2025;5838,65;Gutschrift Vorgang 1596
10021;10273;17.03.2025;719,69;Lastschrift DE15999999990000010273
13311;10427;05.01.2025;-2341,69;Rechnung 2024-3236, Rückfragen unter 0695/827991-18
13220;10553;18.05.2025;7303,99;Dauerauftrag September
15712;10623;21.03.2025;7926,21;"Miete April; Konto DE05999999990000010623"
15446;10399;13.12.2025;5536,36;Rechnung 2024-1049, Rückfragen unter 0232/307194-20
11722;10791;11.07.2025;2169,08;Überweisung an Anja Reinsberg
13927;10833;22.11.2025;95,39;Dauerauftrag August
14578;10042;01.10.2025;-319,58;Gutschrift Vorgang 4192
12415;10077;20.09.2025;6725,42;Gutschrift Vorgang 0255
15530;10595;05.09.2025;-838,33;Beitrag April – Kundennummer 10595
14788;10434;17.03.2025;6785,08;Rückzahlung an peter.dettmer@beispiel-firma.de
12149;10371;10.06.2025;3623,50;Lastschrift DE23999999990000010371
11764;10210;31.10.2025;4583,83;Dauerauftrag September
14543;10511;24.07.2025;661,69;Lastschrift DE73999999990000010511
12590;10084;25.11.2025;-199,44;Beitrag Januar – Kundennummer 10084
12478;10168;27.10.2025;842,61;Beitrag Februar – Kundennummer 10168
12639;10217;02.09.2025;-1064,09;Überweisung an Irene Kettenbach
14144;10672;26.01.2025;2804,95;Rückzahlung an frank.niederegger@beispiel-firma.de
13920;10595;10.02.2025;6712,31;Gutschrift Vorgang 1729
11883;10532;13.09.2025;-485,51;Gutschrift Vorgang 1596
14305;10182;26.06.2025;2216,54;Dauerauftrag Januar
13913;10756;14.12.2025;5198,25;Rechnung 2024-3955, Rückfragen unter 0417/282553-17
14067;10504;24.04.2025;8261,66;Dauerauftrag Januar
12408;10658;18.03.2025;-910,44;Beitrag Dezember – Kundennummer 10658
10714;10490;19.05.2025;7913,18;Lastschrift DE52999999990000010490
11022;10273;27.10.2025;8690,07;"Miete Januar; Konto DE15999999990000010273"
10350;10560;15.09.2025;-1993,07;Überweisung an Olaf Jahnke
10532;10126;09.03.2025;-1625,34;"Miete Juni; Konto DE48999999990000010126"
14893;10672;30.05.2025;8961,27;Lastschrift DE54999999990000010672
15166;10679;13.03.2025;1447,35;Lastschrift DE61999999990000010679
12919;10196;25.05.2025;1148,89;Rechnung 2024-0657, Rückfragen unter +49 68 77363452
14466;10448;31.10.2025;7912,76;Lastschrift DE10999999990000010448
13990;10532;18.11.2025;5849,20;Beitrag April – Kundennummer 10532
14417;10280;10.07.2025;2400,08;Gutschrift Vorgang 9600
15005;10385;16.09.2025;-1374,55;Rückzahlung an claudia.illigen@beispiel-firma.de
14186;10714;29.06.2025;-273,32;Überweisung an Dieter Fassbender
10693;10245;25.03.2025;3534,21;Überweisung an Gisela Niederegger
11834;10595;26.06.2025;4083,04;Rechnung 2024-7717, Rückfragen unter (045) 2905539
15271;10112;16.10.2025;1210,82;Rückzahlung an peter.quandtner@beispiel-firma.de
10679;10728;05.12.2025;5502,96;Dauerauftrag November
15712;10532;29.09.2025;1303,97;Rechnung 2024-5371, Rückfragen unter +49 54 89223948
14942;10140;26.05.2025;6385,77;Dauerauftrag Februar
12681;10707;17.05.2025;3447,41;Dauerauftrag November
15397;10385;12.04.2025;4992,24;Rechnung 2024-0521, Rückfragen unter 0439/539874-29
14522;10147;27.10.2025;4022,83;Rückzahlung an renate.achterberg@beispiel-firma.de
11190;10497;27.08.2025;620,29;Gutschrift Vorgang 8992
12856;10805;14.10.2025;5439,80;"Miete März; Konto DE07999999990000010805"
11848;10609;16.07.2025;3347,84;Beitrag Juli – Kundennummer 10609
15467;10119;24.09.2025;4476,77;Gutschrift Vorgang 5465
10028;10616;27.11.2025;666,86;Dauerauftrag Mai
13738;10756;03.09.2025;7096,62;Beitrag Februar – Kundennummer 10756
13269;10637;27.09.2025;8932,69;"Miete September; Konto DE19999999990000010637"
13759;10210;18.08.2025;2131,89;Rechnung 2024-4196, Rückfragen unter +49 71 99059829
12807;10483;22.07.2025;7877,11;Rechnung 2024-6103, Rückfragen unter (082) 7679918
13661;10266;01.10.2025;-1678,16;Dauerauftrag Juli
12856;10546;18.10.2025;-488,15;Überweisung an Frank Obermeier
14865;10469;09.05.2025;2151,30;Überweisung an Birgit Steinkamp
11617;10539;20.05.2025;792,29;Dauerauftrag März
12730;10266;22.12.2025;4928,42;Beitrag Juni – Kundennummer 10266
12324;10490;04.10.2025;2073,01;Beitrag Mai – Kundennummer 10490
12485;10406;01.01.2025;5760,01;Beitrag November – Kundennummer 10406
11351;10616;07.01.2025;2795,01;Beitrag September – Kundennummer 10616
15684;10259;28.03.2025;-1788,62;Überweisung an Lena Obermeier
14641;10084;27.01.2025;513,90;Lastschrift DE06999999990000010084
13892;10392;09.03.2025;3103,84;Lastschrift DE44999999990000010392
13402;10007;06.12.2025;8113,34;Lastschrift DE19999999990000010007
13458;10385;30.08.2025;-887,84;Gutschrift Vorgang 6403
14753;10644;30.06.2025;6823,23;Lastschrift DE26999999990000010644
11148;10665;08.01.2025;891,42;Überweisung an Jutta Baumgartner
14466;10084;23.05.2025;2124,57;"Miete Juni; Konto DE06999999990000010084"
11722;10560;05.07.2025;6358,54;Rückzahlung an olaf.jahnke@beispiel-firma.de
10798;10049;14.11.2025;4120,76;Lastschrift DE61999999990000010049
14676;10735;24.06.2025;-465,48;Lastschrift DE27999999990000010735
13458;10280;24.06.2025;-133,84;Überweisung an Peter Pflüger
12933;10294;23.06.2025;-2844,25;Dauerauftrag August
13444;10518;04.05.2025;5593,75;Lastschrift DE80999999990000010518
12548;10210;05.11.2025;-1226,51;Rückzahlung an andreas.illigen@beispiel-firma.de
11176;10084;09.10.2025;-286,50;Überweisung an Christoph Wachsmuth
15411;10196;27.02.2025;1482,80;Überweisung an Gerd Reinsberg
14536;10357;27.08.2025;843,35;"Miete Oktober; Konto DE09999999990000010357"
13619;10567;08.07.2025;1724,96;Rückzahlung an irene.zangerle@beispiel-firma.de
10637;10133;05.05.2025;-1747,62;Lastschrift DE55999999990000010133
13759;10553;16.07.2025;6221,27;Überweisung an Gisela Thelen
14242;10630;20.10.2025;4815,04;Gutschrift Vorgang 4059
12100;10770;22.05.2025;1311,20;Rechnung 2024-1776, Rückfragen unter +49 45 67080005
11043;10658;15.05.2025;2225,42;Dauerauftrag Dezember
10455;10707;23.12.2025;918,11;"Miete November; Konto DE89999999990000010707"
13430;10427;25.09.2025;633,21;Gutschrift Vorgang 8679
11477;10644;02.06.2025;2099,09;Überweisung an Olaf Kettenbach
15649;10308;14.06.2025;4485,77;Beitrag Juni – Kundennummer 10308
10336;10329;06.09.2025;-1168,26;Dauerauftrag Juni
14557;10378;21.01.2025;-606,38;"Miete August; Konto DE30999999990000010378"
10735;10252;05.10.2025;-2388,82;Dauerauftrag Mai
12590;10770;09.04.2025;8980,77;Lastschrift DE62999999990000010770
13080;10826;12.01.2025;3086,24;"Miete März; Konto DE28999999990000010826"
15544;10329;30.03.2025;3350,09;Überweisung an Nadine Uhlenbrock
15222;10217;27.01.2025;3749,03;"Miete Juli; Konto DE49999999990000010217"
