Personennummer;IBAN;BIC;Belegnummer;Kontostand;Eröffnungsdatum
10217;DE49999999990000010217;MUSTDEFF001;11204;41719,84;26.01.2010
10224;DE56999999990000010224;PROBDEFFXXX;15663;33649,94;01.11.2007
10231;DE63999999990000010231;MUSTDEFF001;12191;22865,93;24.10.1986
10238;DE70999999990000010238;MUSTDEFF001;12128;5628,56;18.04.2006
10245;DE77999999990000010245;DEMODEFFXXX;14753;43299,35;25.01.2035
10252;DE84999999990000010252;MUSTDEFF001;13451;40305,82;24.12.1998
10259;DE91999999990000010259;TESTDEFFXXX;13668;15204,31;15.08.2017
10266;DE08999999990000010266;TESTDEFFXXX;14123;27778,12;11.03.1980
10273;DE15999999990000010273;PROBDEFFXXX;11799;11542,79;07.12.2009
10280;DE22999999990000010280;DEMODEFFXXX;13794;16206,54;05.09.1997
10287;DE29999999990000010287;BEISDEFF100;12975;2119,96;17.03.2013
10294;DE36999999990000010294;TESTDEFFXXX;10301;11232,44;27.04.1986
10301;DE43999999990000010301;MUSTDEFF001;15341;15315,78;19.02.1993
10308;DE50999999990000010308;DEMODEFFXXX;10924;13739,02;11.08.1974
10315;DE57999999990000010315;DEMODEFFXXX;10903;13322,49;12.07.2022
10322;DE64999999990000010322;DEMODEFFXXX;15824;44984,36;01.06.2030
10329;DE71999999990000010329;BEISDEFF100;14753;44065,15;09.09.2013
10336;DE78999999990000010336;BEISDEFF100;15523;23476,77;02.08.2016
10343;DE85999999990000010343;BEISDEFF100;11617;46865,48;22.12.1984
10350;DE02999999990000010350;PROBDEFFXXX;13087;29920,55;21.12.2036
10357;DE09999999990000010357;MUSTDEFF001;14004;19995,11;10.10.2029
10364;DE16999999990000010364;BEISDEFF100;14046;22580,36;04.03.2024
10371;DE23999999990000010371;PROBDEFFXXX;12121;44043,75;13.01.1996
10378;DE30999999990000010378;TESTDEFFXXX;12674;14747,89;03.02.2000
10385;DE37999999990000010385;TESTDEFFXXX;10336;39750,81;21.07.2018
10392;DE44999999990000010392;BEISDEFF100;14718;5118,07;30.04.2002
10399;DE51999999990000010399;DEMODEFFXXX;14802;22953,68;23.05.2000
10406;DE58999999990000010406;DEMODEFFXXX;12912;37498,47;06.03.1990
10413;DE65999999990000010413;BEISDEFF100;11400;1448,84;06.08.1993
10420;DE72999999990000010420;PROBDEFFXXX;10840;33578,48;26.10.2009
10427;DE79999999990000010427;DEMODEFFXXX;11638;4206,51;23.12.2003
10434;DE86999999990000010434;PROBDEFFXXX;15355;31149,60;19.03.1992
10441;DE03999999990000010441;DEMODEFFXXX;13724;7238,84;25.02.1979
10448;DE10999999990000010448;PROBDEFFXXX;10056;37740,86;14.02.2000
10455;DE17999999990000010455;PROBDEFFXXX;11624;26190,60;29.03.1996
10462;DE24999999990000010462;PROBDEFFXXX;13269;30980,02;12.11.1989
10469;DE31999999990000010469;PROBDEFFXXX;10378;477,03;13.07.1998
10476;DE38999999990000010476;PROBDEFFXXX;10287;14371,71;30.09.1991
10483;DE45999999990000010483;TESTDEFFXXX;10854;25471,59;04.04.2014
10490;DE52999999990000010490;TESTDEFFXXX;11022;41653,28;25.04.2021
10497;DE59999999990000010497;MUSTDEFF001;10602;3357,02;24.07.2005
10504;DE66999999990000010504;PROBDEFFXXX;13367;39566,10;12.10.2031
10511;DE73999999990000010511;TESTDEFFXXX;10763;24404,32;20.07.2024
10518;DE80999999990000010518;BEISDEFF100;10994;25495,50;30.01.2035
10525;DE87999999990000010525;DEMODEFFXXX;15663;45387,21;23.08.2012
10532;DE04999999990000010532;MUSTDEFF001;11659;7746,07;05.04.2002
10539;DE11999999990000010539;TESTDEFFXXX;14501;20345,12;01.06.2031
10546;DE18999999990000010546;BEISDEFF100;13584;8289,62;26.06.2034
10553;DE25999999990000010553;BEISDEFF100;11687;39613,02;13.05.2030
10560;DE32999999990000010560;PROBDEFFXXX;12359;-1368,34;29.10.1995
10567;DE39999999990000010567;PROBDEFFXXX;14452;38284,59;13.03.1983
10574;DE46999999990000010574;MUSTDEFF001;15096;23309,10;02.04.1996
10581;DE53999999990000010581;TESTDEFFXXX;15761;1563,26;29.11.1987
10588;DE60999999990000010588;BEISDEFF100;14340;33816,11;15.10.2039
10595;DE67999999990000010595;DEMODEFFXXX;11043;32696,14;27.11.1984
10602;DE74999999990000010602;PROBDEFFXXX;13066;-2087,78;07.12.2036
10609;DE81999999990000010609;BEISDEFF100;13955;39654,95;28.11.2018
10616;DE88999999990000010616;MUSTDEFF001;15362;14099,46;15.10.1995
10623;DE05999999990000010623;MUSTDEFF001;10553;3564,36;10.01.2007
10630;DE12999999990000010630;PROBDEFFXXX;14550;26388,66;11.02.1978
10637;DE19999999990000010637;TESTDEFFXXX;12163;19765,58;21.06.1978
10644;DE26999999990000010644;MUSTDEFF001;14935;11614,30;05.10.2023
10651;DE33999999990000010651;BEISDEFF100;10798;38374,10;09.06.2025
10658;DE40999999990000010658;DEMODEFFXXX;10742;10503,53;30.06.2009
10665;DE47999999990000010665;DEMODEFFXXX;13430;18539,77;19.01.1991
10672;DE54999999990000010672;TESTDEFFXXX;14592;40710,56;17.11.2022
10679;DE61999999990000010679;TESTDEFFXXX;11351;15254,10;09.01.1998
10686;DE68999999990000010686;TESTDEFFXXX;11204;7741,07;11.08.1985
10693;DE75999999990000010693;BEISDEFF100;12086;41060,86;21.09.1988
10700;DE82999999990000010700;DEMODEFFXXX;11708;35261,19;07.06.2007
10707;DE89999999990000010707;TESTDEFFXXX;11463;33958,91;10.07.2013
10714;DE06999999990000010714;PROBDEFFXXX;15194;33088,20;11.02.2011
10721;DE13999999990000010721;TESTDEFFXXX;15215;5688,58;22.06.2022
10728;DE20999999990000010728;MUSTDEFF001;10763;6733,93;14.04.2011
10735;DE27999999990000010735;PROBDEFFXXX;11708;45562,19;01.05.2001
10742;DE34999999990000010742;DEMODEFFXXX;12156;5856,07;18.07.2006
10749;DE41999999990000010749;DEMODEFFXXX;14179;21493,47;22.06.1991
10756;DE48999999990000010756;DEMODEFFXXX;15117;46639,27;10.04.2006
10763;DE55999999990000010763;PROBDEFFXXX;11225;17523,93;24.01.2029
10770;DE62999999990000010770;MUSTDEFF001;14165;33407,40;03.11.2025
10777;DE69999999990000010777;DEMODEFFXXX;14025;-678,87;31.12.2024
10784;DE76999999990000010784;DEMODEFFXXX;11799;22144,53;26.03.2007
10791;DE83999999990000010791;TESTDEFFXXX;14774;3705,37;28.01.1987
10798;DE90999999990000010798;TESTDEFFXXX;10014;35378,07;23.08.2029
10805;DE07999999990000010805;PROBDEFFXXX;13500;47648,15;16.09.1985
10812;DE14999999990000010812;TESTDEFFXXX;14886;41004,74;17.12.2017
10819;DE21999999990000010819;BEISDEFF100;14396;9823,01;20.09.1997
10826;DE28999999990000010826;MUSTDEFF001;11477;39409,89;11.04.1994
10833;DE35999999990000010833;MUSTDEFF001;10651;28778,94;23.05.2012
